rule_id,lang,severity,category,cc_type,cc_impact,effort_min,file,line,message,tier
python:S3457,python,MAJOR,MAINTAINABILITY,,,1,src/prism_salesops/__main__.py,103,Add replacementfields or use a normal string instead of an f- string.,TIER3
javascript:S1128,javascript,MINOR,MAINTAINABILITY,,,1,src/core/providers/AdapterGuard.js,7,Remove this unused import of 'validateProviderRe sult'.,TIER1
javascript:S1128,javascript,MINOR,MAINTAINABILITY,,,1,src/core/providers/AdapterGuard.js,10,Remove this unused import of 'ProviderStatusSch ema'.,TIER1
javascript:S3776,javascript,CRITICAL,MAINTAINABILITY,,,12,src/core/providers/AdapterGuard.js,176,Refactor this function to reduce its Cognitive Complexity from 17 to the 15 allowed.,TIER1
javascript:S7735,javascript,MINOR,MAINTAINABILITY,,,2,src/core/providers/AdapterGuard.js,231,Unexpected negated condition.,TIER1
javascript:S6645,javascript,MINOR,MAINTAINABILITY,,,5,src/core/providers/AdapterGuard.js,265,It's not necessary to initialize 'errorCode' to undefined.,TIER1
javascript:S4165,javascript,MAJOR,MAINTAINABILITY,,,5,src/core/providers/AdapterGuard.js,292,"Review this redundant assignment: ""status"" already holds the assigned value along all execution paths.",TIER1
javascript:S7772,javascript,MINOR,MAINTAINABILITY,,,5,tests/adapters/adapters.invariants.spec.js,6,Prefer `node:fs` over `fs`.,TIER2
javascript:S7772,javascript,MINOR,MAINTAINABILITY,,,5,tests/adapters/adapters.invariants.spec.js,7,Prefer `node:path` over `path`.,TIER2
javascript:S1481,javascript,MINOR,MAINTAINABILITY,,,5,tests/adapters/adapters.invariants.spec.js,212,Remove the declaration of the unused 'adapter' variable.,TIER2
javascript:S1854,javascript,MAJOR,MAINTAINABILITY,,,1,tests/adapters/adapters.invariants.spec.js,212,"Remove this useless assignment to variable ""adapter"".",TIER2
typescript:S1128,typescript,MINOR,MAINTAINABILITY,,,1,tests/ui/adaptive-timeout.spec.ts,14,Remove this unused import of 'TimeoutConfig'.,TIER2
javascript:S1128,javascript,MINOR,MAINTAINABILITY,,,1,ui/AdaptiveCyclerWidget.js,9,Remove this unused import of 'PrismHMAC'.,TIER3
javascript:S1128,javascript,MINOR,MAINTAINABILITY,,,1,ui/AdaptiveCyclerWidget.js,10,Remove this unused import of 'AudioManager'.,TIER3
javascript:S125,javascript,MAJOR,MAINTAINABILITY,,,5,ui/AdaptiveCyclerWidget.js,11,Remove this commented out code.,TIER3
javascript:S7757,javascript,MINOR,MAINTAINABILITY,,,5,ui/AdaptiveCyclerWidget.js,16,Prefer classfield declaration over `this` assignment in constructor for static values. 2m MAINTAINABILITY 1 javascript:S7059 Constructors should not contain asynchronous operations CRITICAL P:ui/ AdaptiveCyclerWid get.js(line 48) Refactor this asynchronous operation outside of the constructor.,TIER3
javascript:S7764,javascript,MINOR,MAINTAINABILITY,,,2,ui/AdaptiveCyclerWidget.js,173,Prefer `globalThis` over `window`.,TIER3
javascript:S7773,javascript,MINOR,MAINTAINABILITY,,,2,ui/AdaptiveCyclerWidget.js,203,Prefer `Number.parseFloat` over `parseFloat`.,TIER3
javascript:S6582,javascript,MAJOR,MAINTAINABILITY,,,5,ui/AdaptiveCyclerWidget.js,218,"Prefer using an optional chain expression instead, as it's more concise and easier to read.",TIER3
javascript:S7764,javascript,MINOR,MAINTAINABILITY,,,2,ui/AdaptiveCyclerWidget.js,218,Prefer `globalThis` over `window`.,TIER3
javascript:S7764,javascript,MINOR,MAINTAINABILITY,,,2,ui/AdaptiveCyclerWidget.js,218,Prefer `globalThis` over `window`.,TIER3
javascript:S7764,javascript,MINOR,MAINTAINABILITY,,,2,ui/AdaptiveCyclerWidget.js,228,Prefer `globalThis` over `window`.,TIER3
javascript:S7764,javascript,MINOR,MAINTAINABILITY,,,2,ui/AdaptiveCyclerWidget.js,236,Prefer `globalThis` over `window`.,TIER3
javascript:S7764,javascript,MINOR,MAINTAINABILITY,,,2,ui/AdaptiveCyclerWidget.js,238,Prefer `globalThis` over `window`.,TIER3
javascript:S7764,javascript,MINOR,MAINTAINABILITY,,,2,ui/AdaptiveCyclerWidget.js,239,Prefer `globalThis` over `window`.,TIER3
javascript:S6582,javascript,MAJOR,MAINTAINABILITY,,,5,ui/AdaptiveCyclerWidget.js,399,"Prefer using an optional chain expression instead, as it's more concise and easier to read.",TIER3
javascript:S7762,javascript,MAJOR,MAINTAINABILITY,,,2,ui/AdaptiveCyclerWidget.js,400,Prefer `childNode.remove() ` over `parentNode.remov eChild(childNode)`.,TIER3
javascript:S7764,javascript,MINOR,MAINTAINABILITY,,,2,ui/AdaptiveCyclerWidget.js,402,Prefer `globalThis` over `window`.,TIER3
javascript:S7764,javascript,MINOR,MAINTAINABILITY,,,2,ui/AdaptiveCyclerWidget.js,403,Prefer `globalThis` over `window`.,TIER3
javascript:S1854,javascript,MAJOR,MAINTAINABILITY,,,1,legacy_tests/AdaptiveCyclerWidget.test.js,16,"Remove this useless assignment to variable ""mockCompression "".",TIER3
javascript:S7764,javascript,MINOR,MAINTAINABILITY,,,2,legacy_tests/AdaptiveCyclerWidget.test.js,62,"Prefer `globalThis` over `window`. 2m MAINTAINABILITY 2 javascript:S7764 Use ""globalThis"" instead of ""window"", ""self"", or ""global"" MINOR P:legacy_tests/ AdaptiveCyclerWid get.test.js(line 114) Prefer `globalThis` over `window`.",TIER3
javascript:S1128,javascript,MINOR,MAINTAINABILITY,,,1,__tests_legacy__/AdaptiveCyclerWidget.test.js,8,Remove this unused import of 'PrismPurgeSchedu ler'.,TIER3
javascript:S7764,javascript,MINOR,MAINTAINABILITY,,,2,__tests_legacy__/AdaptiveCyclerWidget.test.js,34,Prefer `globalThis` over `window`.,TIER3
javascript:S7764,javascript,MINOR,MAINTAINABILITY,,,2,__tests_legacy__/AdaptiveCyclerWidget.test.js,47,Prefer `globalThis` over `window`.,TIER3
javascript:S1854,javascript,MAJOR,MAINTAINABILITY,,,1,src/ui/AdaptiveTimeoutManager.js,161,"Remove this useless assignment to variable ""id"".",TIER3
javascript:S1481,javascript,MINOR,MAINTAINABILITY,,,5,src/ui/AdaptiveTimeoutManager.js,161,Remove the declaration of the unused 'id' variable.,TIER3
javascript:S1128,javascript,MINOR,MAINTAINABILITY,,,1,__tests_legacy__/AdaptiveWeightingEngine.clamp.test.js,8,Remove this unused import of 'crypto'.,TIER3
javascript:S7772,javascript,MINOR,MAINTAINABILITY,,,5,__tests_legacy__/AdaptiveWeightingEngine.clamp.test.js,8,Prefer `node:crypto` over `crypto`.,TIER3
javascript:S7772,javascript,MINOR,MAINTAINABILITY,,,5,__tests_legacy__/AdaptiveWeightingEngine.clamp.test.js,11,Prefer `node:fs/ promises` over `fs/ promises`.,TIER3
javascript:S7772,javascript,MINOR,MAINTAINABILITY,,,5,__tests_legacy__/AdaptiveWeightingEngine.clamp.test.js,12,Prefer `node:path` over `path`.,TIER3
javascript:S7772,javascript,MINOR,MAINTAINABILITY,,,5,src/core/AdaptiveWeightingEngine.js,7,Prefer `node:events` over `events`.,TIER3
javascript:S7772,javascript,MINOR,MAINTAINABILITY,,,5,src/core/AdaptiveWeightingEngine.js,8,Prefer `node:crypto` over `crypto`.,TIER3
javascript:S1128,javascript,MINOR,MAINTAINABILITY,,,1,src/core/AdaptiveWeightingEngine.js,8,Remove this unused import of 'crypto'.,TIER3
javascript:S7748,javascript,MINOR,MAINTAINABILITY,,,1,src/core/AdaptiveWeightingEngine.js,53,Don't use a zero fraction in the number.,TIER3
javascript:S6582,javascript,MAJOR,MAINTAINABILITY,,,5,src/core/AdaptiveWeightingEngine.js,56,"Prefer using an optional chain expression instead, as it's more concise and easier to read.",TIER3
javascript:S6582,javascript,MAJOR,MAINTAINABILITY,,,5,src/core/AdaptiveWeightingEngine.js,56,"Prefer using an optional chain expression instead, as it's more concise and easier to read.",TIER3
javascript:S6582,javascript,MAJOR,MAINTAINABILITY,,,5,src/core/AdaptiveWeightingEngine.js,57,"Prefer using an optional chain expression instead, as it's more concise and easier to read. 5m MAINTAINABILITY 3 javascript:S6582 Optional chaining should be preferred MAJOR P:src/core/ AdaptiveWeighting Engine.js(line 57) Prefer using an optional chain expression instead, as it's more concise and e",TIER3
javascript:S6582,javascript,MAJOR,MAINTAINABILITY,,,5,src/core/AdaptiveWeightingEngine.js,58,"Prefer using an optional chain expression instead, as it's more concise and easier to read.",TIER3
javascript:S6582,javascript,MAJOR,MAINTAINABILITY,,,5,src/core/AdaptiveWeightingEngine.js,58,"Prefer using an optional chain expression instead, as it's more concise and easier to read.",TIER3
javascript:S7748,javascript,MINOR,MAINTAINABILITY,,,1,src/core/AdaptiveWeightingEngine.js,89,Don't use a zero fraction in the number.,TIER3
javascript:S7748,javascript,MINOR,MAINTAINABILITY,,,1,src/core/AdaptiveWeightingEngine.js,92,Don't use a zero fraction in the number.,TIER3
javascript:S7748,javascript,MINOR,MAINTAINABILITY,,,1,src/core/AdaptiveWeightingEngine.js,98,Don't use a zero fraction in the number.,TIER3
javascript:S7748,javascript,MINOR,MAINTAINABILITY,,,1,src/core/AdaptiveWeightingEngine.js,99,Don't use a zero fraction in the number.,TIER3
javascript:S7748,javascript,MINOR,MAINTAINABILITY,,,1,src/core/AdaptiveWeightingEngine.js,104,Don't use a zero fraction in the number.,TIER3
javascript:S7748,javascript,MINOR,MAINTAINABILITY,,,1,src/core/AdaptiveWeightingEngine.js,105,Don't use a zero fraction in the number.,TIER3
javascript:S7748,javascript,MINOR,MAINTAINABILITY,,,1,src/core/AdaptiveWeightingEngine.js,106,Don't use a zero fraction in the number.,TIER3
javascript:S7748,javascript,MINOR,MAINTAINABILITY,,,1,src/core/AdaptiveWeightingEngine.js,107,Don't use a zero fraction in the number.,TIER3
javascript:S7784,javascript,MINOR,MAINTAINABILITY,,,5,src/core/AdaptiveWeightingEngine.js,114,Prefer `structuredClone(…) ` over `JSON.parse(JSON. stringify(…))` to create a deep clone.,TIER3
javascript:S7784,javascript,MINOR,MAINTAINABILITY,,,5,src/core/AdaptiveWeightingEngine.js,184,"Prefer `structuredClone(…) ` over `JSON.parse(JSON. stringify(…))` to create a deep clone. 5m MAINTAINABILITY 4 javascript:S4043 Array-mutating methods should not be used misleadingly MAJOR P:src/core/ AdaptiveWeighting Engine.js(line 293) Move this array ""sort"" operation to a separate statement or ",TIER3
javascript:S7784,javascript,MINOR,MAINTAINABILITY,,,5,src/core/AdaptiveWeightingEngine.js,394,Prefer `structuredClone(…) ` over `JSON.parse(JSON. stringify(…))` to create a deep clone.,TIER3
javascript:S7784,javascript,MINOR,MAINTAINABILITY,,,5,src/core/AdaptiveWeightingEngine.js,397,Prefer `structuredClone(…) ` over `JSON.parse(JSON. stringify(…))` to create a deep clone.,TIER3
